"Sample_Number","Euryarchaeota","Crenarchaeota","Thaumarchaeota","Candidatus_Korarchaeota","Primary_Site"
"s15486",4390,13502,97,0,"Base_of_tongue"
"s15489",2066,3919,34,0,"Larynx"
"s15492",27526,54844,249,0,"Floor_of_mouth"
"s15493",1287,2343,9,0,"Larynx"
"s15494",2652,5678,16,0,"Larynx"
"s15495",1724,4371,9,0,"Larynx"
"s15500",22839,66196,471,0,"Gum"
"s15501",1884,3994,6,0,"Larynx"
"s15504",25333,74511,389,0,"Floor_of_mouth"
"s15513",2134,3237,9,0,"Base_of_tongue"
"s15524",16407,60449,211,0,"Floor_of_mouth"
"s15530",5552,2473,16,0,"Larynx"
"s15536",404,124,55,0,"Larynx"
"s15538",467,102,82,0,"Larynx"
"s15541",507,159,59,0,"Larynx"
"s15543",309,83,65,0,"Larynx"
"s15545",497,188,46,0,"Larynx"
"s15547",377,109,40,0,"Larynx"
"s15548",458,192,48,0,"Base_of_tongue"
"s15549",387,179,53,0,"Floor_of_mouth"
"s15550",399,140,54,0,"Larynx"
"s15551",289,97,62,0,"Larynx"
"s15554",520,74,83,0,"Larynx"
"s15560",437,179,57,0,"Larynx"
"s15562",354,41,162,0,"Floor_of_mouth"
"s15568",373,137,57,0,"Larynx"
"s15569",267,150,36,0,"Base_of_tongue"
"s15575",565,84,0,1,"Larynx"
"s15577",327,28,22,0,"Gum"
"s15579",426,37,17,0,"Larynx"
"s15583",667,53,36,0,"Floor_of_mouth"
"s15584",441,160,89,0,"Larynx"
"s15585",346,76,33,0,"Base_of_tongue"
"s15588",367,76,91,1,"Floor_of_mouth"
"s15592",583,58,106,0,"Larynx"
"s15593",424,63,110,0,"Base_of_tongue"
"s15595",412,55,66,0,"Larynx"
"s15596",247,47,46,0,"Gum"
"s15597",265,80,43,0,"Floor_of_mouth"
"s15598",302,97,86,0,"Larynx"
"s15600",396,233,31,0,"Larynx"
"s15603",17255,39573,365,0,"Base_of_tongue"
"s15609",2006,3356,13,0,"Larynx"
"s15612",1552,3822,17,0,"Larynx"
"s15615",31779,95664,296,0,"Larynx"
"s15616",3678,8379,24,0,"Floor_of_mouth"
"s15618",1566,2864,8,0,"Larynx"
"s15624",1994,3394,13,0,"Larynx"
"s15626",2008,3656,4,0,"Gum"
"s15627",15935,20142,315,0,"Gum"
"s15628",2038,2955,4,0,"Larynx"
"s15629",1502,1898,10,0,"Gum"
"s15636",11781,40667,264,0,"Base_of_tongue"
"s15639",16613,63716,202,0,"Floor_of_mouth"
"s15650",3692,4229,2,0,"Floor_of_mouth"
"s15655",2520,2812,9,0,"Larynx"
"s15660",440,66,74,0,"Larynx"
"s15663",349,125,72,0,"Larynx"
"s15668",431,85,57,0,"Larynx"
"s15671",307,54,55,0,"Larynx"
"s15672",419,135,39,0,"Gum"
"s15673",349,63,22,0,"Base_of_tongue"
"s15674",391,131,83,0,"Larynx"
"s15676",437,75,63,0,"Larynx"
"s15677",274,138,80,0,"Larynx"
"s15679",558,325,35,0,"Base_of_tongue"
"s15681",462,177,35,0,"Larynx"
"s15684",272,96,70,0,"Larynx"
"s15685",1010,254,59,0,"Larynx"
"s15687",318,25,46,0,"Floor_of_mouth"
"s15693",506,145,69,0,"Base_of_tongue"
"s15695",513,75,25,0,"Larynx"
"s15696",412,76,32,0,"Larynx"
"s15698",244,60,29,0,"Larynx"
"s15699",358,84,31,0,"Floor_of_mouth"
"s15701",450,85,21,0,"Larynx"
"s15704",377,34,46,0,"Floor_of_mouth"
"s15706",366,78,44,0,"Floor_of_mouth"
"s15707",323,70,43,0,"Floor_of_mouth"
"s15708",393,73,19,0,"Gum"
"s15720",490,76,31,0,"Larynx"
"s15730",509,59,90,0,"Floor_of_mouth"
"s15732",385,52,45,0,"Larynx"
"s15733",279,30,21,0,"Gum"
"s15734",424,48,38,0,"Base_of_tongue"
"s15735",474,123,4,0,"Floor_of_mouth"
"s15736",327,64,30,0,"Floor_of_mouth"
"s15741",482,199,48,0,"Larynx"
"s15742",17581,52899,465,0,"Larynx"
"s15743",23320,56255,565,0,"Larynx"
"s15745",19211,43991,333,1,"Gum"
"s15749",1150,1948,11,0,"Larynx"
"s15751",17691,51618,224,0,"Larynx"
"s15752",40935,133396,461,0,"Floor_of_mouth"
"s15760",1565,2801,1,0,"Gum"
"s15764",2477,5030,7,0,"Larynx"
"s15765",1915,3365,4,0,"Floor_of_mouth"
"s15766",15532,19426,184,0,"Larynx"
"s15767",2263,3417,12,0,"Floor_of_mouth"
"s15774",19247,57491,307,0,"Larynx"
"s15777",4621,4783,7,0,"Floor_of_mouth"
"s15788",483,144,77,0,"Larynx"
"s15789",449,116,161,0,"Base_of_tongue"
"s15795",399,104,47,0,"Base_of_tongue"
"s15796",247,96,68,0,"Floor_of_mouth"
"s15798",399,243,35,0,"Larynx"
"s15799",531,437,29,0,"Larynx"
"s15803",365,70,40,0,"Larynx"
"s15805",344,97,51,0,"Larynx"
"s15806",418,98,48,0,"Floor_of_mouth"
"s15809",355,96,71,0,"Floor_of_mouth"
"s15811",296,115,40,0,"Larynx"
"s15814",616,82,50,0,"Larynx"
"s15817",477,131,82,0,"Larynx"
"s15823",366,77,35,0,"Larynx"
"s15827",505,153,25,0,"Larynx"
"s15830",296,76,66,0,"Base_of_tongue"
"s15831",353,62,53,0,"Base_of_tongue"
"s15833",247,38,34,0,"Larynx"
"s15834",207,204,20,0,"Larynx"
"s15836",454,103,36,0,"Larynx"
"s15838",466,51,28,0,"Larynx"
"s15839",478,42,25,0,"Larynx"
"s15840",558,103,151,0,"Base_of_tongue"
"s15855",400,138,13,0,"Floor_of_mouth"
"s15857",291,43,6,0,"Floor_of_mouth"
"s15858",434,166,11,0,"Floor_of_mouth"
"s15859",550,244,34,0,"Larynx"
"s15863",16957,47290,358,0,"Base_of_tongue"
"s15867",22891,45088,458,0,"Base_of_tongue"
"s15871",4164,11700,112,0,"Base_of_tongue"
"s15872",4338,15047,117,0,"Floor_of_mouth"
"s15877",2211,4172,39,0,"Larynx"
"s15883",2062,3142,6,0,"Larynx"
"s15885",1963,3507,6,0,"Larynx"
"s15888",2660,3998,7,0,"Larynx"
"s15889",3601,2865,17,0,"Gum"
"s15890",2301,3825,14,0,"Larynx"
"s15891",2227,3535,10,0,"Larynx"
"s15904",1873,3125,26,0,"Larynx"
"s15909",1496,2674,3,0,"Floor_of_mouth"
"s15912",1259,2027,4,0,"Larynx"
"s15913",2493,4377,10,0,"Larynx"
"s15919",556,99,91,0,"Base_of_tongue"
"s15920",344,116,37,0,"Larynx"
"s15925",335,82,27,0,"Larynx"
"s15926",493,191,71,0,"Larynx"
"s15927",553,112,34,0,"Larynx"
"s15928",423,135,187,0,"Larynx"
"s15930",484,189,155,0,"Larynx"
"s15932",535,114,194,0,"Larynx"
"s15934",465,114,47,0,"Larynx"
"s15940",331,143,74,0,"Floor_of_mouth"
"s15941",458,154,36,0,"Larynx"
"s15949",442,93,53,0,"Floor_of_mouth"
"s15951",312,63,88,0,"Floor_of_mouth"
"s15953",742,209,38,0,"Base_of_tongue"
"s15954",359,85,91,0,"Larynx"
"s15962",331,78,38,0,"Larynx"
"s15966",332,74,44,0,"Base_of_tongue"
"s15971",309,63,21,0,"Larynx"
"s15972",339,93,27,0,"Larynx"
"s15974",369,83,24,0,"Gum"
"s15975",572,70,83,0,"Larynx"
"s15976",361,59,58,0,"Larynx"
"s15977",469,140,27,0,"Larynx"
"s15978",756,236,108,0,"Larynx"
"s15979",412,66,18,0,"Larynx"
"s15980",190,77,34,0,"Floor_of_mouth"
"s15981",442,79,40,0,"Floor_of_mouth"
"s15983",353,31,37,0,"Floor_of_mouth"
"s15985",263,24,34,0,"Floor_of_mouth"
"s15986",344,49,60,0,"Larynx"
"s15988",439,74,81,0,"Larynx"
"s15991",534,85,110,0,"Larynx"
"s15992",559,81,141,0,"Larynx"
"s15994",407,51,42,0,"Base_of_tongue"
"s15995",293,32,47,0,"Floor_of_mouth"
"s15999",281,41,28,0,"Larynx"
"s16001",727,67,69,0,"Floor_of_mouth"
"s16003",391,75,76,0,"Larynx"
"s16006",328,97,58,0,"Floor_of_mouth"
"s16008",479,84,60,0,"Floor_of_mouth"
"s16010",300,108,46,0,"Floor_of_mouth"
"s16011",478,85,59,0,"Floor_of_mouth"
"s16012",235,49,31,0,"Larynx"
"s16013",306,71,46,0,"Gum"
"s16014",512,125,28,0,"Floor_of_mouth"
"s16024",1762,2371,10,0,"Base_of_tongue"
"s16025",16298,18424,226,0,"Floor_of_mouth"
"s16026",5863,38482,189,0,"Larynx"
"s16027",2113,5923,12,0,"Floor_of_mouth"
"s16028",26593,64377,726,0,"Floor_of_mouth"
"s16029",2274,2463,21,0,"Larynx"
"s16032",1502,2335,10,0,"Larynx"
"s16035",3259,3655,6,0,"Floor_of_mouth"
"s16039",17724,92539,442,1,"Base_of_tongue"
"s16043",12222,39409,155,0,"Larynx"
"s16044",4558,5780,31,0,"Larynx"
"s16049",2266,3851,9,0,"Larynx"
"s16055",2152,3408,8,0,"Floor_of_mouth"
"s16060",14309,26420,217,0,"Larynx"
"s16063",506,82,85,0,"Floor_of_mouth"
"s16067",316,59,32,0,"Floor_of_mouth"
"s16068",437,142,312,0,"Larynx"
"s16075",979,129,50,0,"Larynx"
"s16077",370,54,40,0,"Floor_of_mouth"
"s16080",291,58,139,0,"Base_of_tongue"
"s16081",401,50,41,0,"Floor_of_mouth"
"s16082",233,32,54,0,"Base_of_tongue"
"s16084",273,44,46,0,"Larynx"
"s16089",788,51,44,0,"Larynx"
"s16091",524,100,44,0,"Floor_of_mouth"
"s16093",598,177,45,0,"Larynx"
"s16098",433,110,41,0,"Larynx"
"s16100",629,92,91,0,"Larynx"
"s16101",317,71,152,0,"Base_of_tongue"
"s16105",216,80,31,0,"Floor_of_mouth"
"s16106",511,111,47,0,"Larynx"
"s16107",359,76,93,0,"Larynx"
"s16108",531,169,69,0,"Larynx"
"s16111",182,31,28,0,"Floor_of_mouth"
"s16112",368,101,52,0,"Larynx"
"s16113",495,245,128,0,"Larynx"
"s16122",191,37,31,0,"Larynx"
"s16123",448,131,36,0,"Larynx"
"s16124",679,218,85,0,"Floor_of_mouth"
"s16129",377,49,72,0,"Floor_of_mouth"
"s16131",455,35,126,0,"Gum"
"s16135",461,123,43,0,"Larynx"
"s16143",374,26,14,0,"Larynx"
"s16149",376,83,46,0,"Floor_of_mouth"
"s16151",260,66,24,0,"Larynx"
"s16152",228,19,5,0,"Base_of_tongue"
"s16155",395,96,58,0,"Floor_of_mouth"
"s16156",388,70,10,0,"Larynx"
"s16157",160,73,36,0,"Floor_of_mouth"
"s16158",311,23,14,0,"Larynx"
"s16160",376,95,20,0,"Larynx"
"s16163",19617,48778,544,0,"Base_of_tongue"
"s16165",17150,49736,414,0,"Gum"
"s16171",14906,47451,318,0,"Larynx"
"s16176",1731,3076,7,0,"Larynx"
"s16177",22877,69274,386,0,"Larynx"
"s16182",2530,3954,4,0,"Larynx"
"s16183",3677,6342,34,0,"Larynx"
"s16184",2191,3575,6,0,"Larynx"
"s16185",2037,4475,12,0,"Floor_of_mouth"
"s16192",34621,72837,331,1,"Larynx"
"s16194",2120,3866,6,0,"Base_of_tongue"
"s16196",24904,87512,293,0,"Larynx"
"s16211",444,69,72,0,"Floor_of_mouth"
"s16215",496,113,115,1,"Larynx"
"s16217",659,237,541,0,"Larynx"
"s16218",681,308,188,0,"Larynx"
"s16219",613,410,93,0,"Larynx"
"s16221",525,191,52,0,"Larynx"
"s16222",440,77,15,0,"Larynx"
"s16223",301,69,21,0,"Larynx"
"s16233",375,113,48,0,"Larynx"
"s16234",532,140,73,0,"Floor_of_mouth"
"s16237",616,342,46,0,"Larynx"
"s16238",192,80,36,0,"Larynx"
"s16240",763,208,34,0,"Larynx"
"s16241",359,86,35,0,"Base_of_tongue"
"s16242",879,94,122,0,"Larynx"
"s16244",242,56,47,0,"Floor_of_mouth"
"s16249",375,198,60,0,"Larynx"
"s16250",388,84,90,0,"Larynx"
"s16252",860,183,86,0,"Base_of_tongue"
"s16254",355,117,87,0,"Larynx"
"s16260",345,66,59,0,"Larynx"
"s16263",361,44,22,0,"Larynx"
"s16266",551,70,28,0,"Gum"
"s16271",381,45,17,1,"Larynx"
"s16275",558,69,51,0,"Gum"
"s16276",383,144,24,0,"Floor_of_mouth"
"s16277",646,112,64,0,"Larynx"
"s16281",362,42,51,0,"Floor_of_mouth"
"s16282",406,75,142,0,"Larynx"
"s16283",383,54,70,0,"Larynx"
"s16284",258,96,23,0,"Larynx"
"s16288",435,49,24,0,"Larynx"
"s16291",885,95,10,0,"Floor_of_mouth"
"s16293",994,122,74,0,"Larynx"
"s16296",522,139,74,0,"Larynx"
"s16297",592,161,68,0,"Floor_of_mouth"
"s16298",367,140,198,0,"Floor_of_mouth"
"s16299",326,117,70,0,"Floor_of_mouth"
"s16300",254,62,31,0,"Gum"
"s16305",287,52,71,0,"Base_of_tongue"
"s16308",149,36,59,0,"Larynx"
"s16309",245,109,48,0,"Larynx"
"s16313",4304,14236,152,0,"Base_of_tongue"
"s16315",1901,3905,13,0,"Base_of_tongue"
"s16317",2343,3928,10,0,"Larynx"
"s16318",13030,71975,211,1,"Floor_of_mouth"
"s16319",31924,95201,360,0,"Floor_of_mouth"
"s16324",2340,4414,14,0,"Larynx"
"s16334",3440,4400,15,0,"Larynx"
"s16343",28737,69565,478,0,"Floor_of_mouth"
"s16345",21992,66572,316,0,"Larynx"
"s16351",349,104,36,0,"Larynx"
"s16353",356,118,44,0,"Larynx"
"s16357",579,389,134,0,"Larynx"
"s16370",731,65,7,0,"Floor_of_mouth"
"s16373",382,35,51,0,"Base_of_tongue"
"s16376",325,52,34,0,"Base_of_tongue"
"s16378",318,72,24,0,"Floor_of_mouth"
"s16382",655,150,119,0,"Floor_of_mouth"
"s16383",349,89,29,0,"Floor_of_mouth"
"s16386",270,46,58,0,"Floor_of_mouth"
