Sample_Number,Firmicutes,Actinobacteria,Bacteroidetes,Chlamydiae,Proteobacteria,k_Bacteria,Cyanobacteria,Chloroflexi,Gemmatimonadetes,Aquificae,Acidobacteria,Thermotogae,Deinococcus,Synergistetes,Planctomycetes,Fibrobacteres,Tenericutes,Spirochaetes,Verrucomicrobia,Nitrospirae,Fusobacteria,Thermodesulfobacteria,Armatimonadetes,Ignavibacteriae,Chlorobi,Caldiserica,Lentisphaerae,Candidatus_Cloacimonetes,Chrysiogenetes,Deferribacteres,Elusimicrobia,Rhodothermaeota,Nitrospinae,Dictyoglomi,Primary_Site
s15833,61780,35026,13448,1181,120388,0,403,4,0,1,6,10,145,1,1348,2,1110,772,55,55,2305,12,0,0,0,1,0,0,0,0,0,0,8,0,Larynx
s15834,120257,53077,8178,1099,266547,0,392,7,1,1,4,23,128,2,1668,0,1593,1008,80,87,18,17,0,0,0,0,0,0,0,1,0,0,2,0,Larynx
s15836,19327,17390,9211,1194,37522,0,326,2,0,1,3,17,21,0,875,0,943,1221,11,11,98,8,0,0,1,0,0,0,0,0,0,0,6,0,Larynx
s15838,52292,30648,10901,1913,91312,0,651,9,3,3,8,21,64,4,1631,0,1613,863,16,51,41,20,2,0,0,0,0,0,0,0,0,0,4,0,Larynx
s15839,1276536,59955,9432,2753,125049,0,539,29,1,3,7,21,919,0,3905,0,2107,1309,369,153,152,22,0,0,0,0,0,0,1,1,0,0,5,0,Larynx
s15859,90098,72847,7102,1311,2770009,0,483,11,1,4,13,20,564,3,2804,0,1574,816,333,6,32,28,0,0,0,0,0,0,0,1,0,0,5,0,Larynx
s15877,32210,24269,16583,1657,60570,0,449,2,0,0,5,12,67,0,1349,3,1458,773,7,58,72,13,0,0,0,0,0,0,1,0,0,0,3,0,Larynx
s15883,48220,90849,20865,2572,119674,0,672,9,3,0,33,21,66,5,1685,1,1780,2272,6,49,46,26,0,0,3,0,0,0,0,0,0,1,8,1,Larynx
s15885,5848778,3101963,219484,375760,2587778,2,47721,749,13,111,1155,753,1275,7,40871,0,38241,21406,4713,18,989,717,1,1,41,0,0,0,15,39,3,0,6,0,Larynx
s15888,411953,235326,23177,26177,148425,0,2554,41,4,14,36,143,196,495,3954,0,5513,9837,166,4,13135,90,0,1,0,0,0,0,2,0,1,0,0,0,Larynx
s15890,54819,46476,14393,2197,100672,1,670,5,1,0,18,12,75,1,1535,1,1601,1056,5,4,20,15,0,0,0,1,0,0,0,0,0,0,5,0,Larynx
s15891,7523267,3571443,288493,578819,4965737,8,66453,777,13,219,1364,1120,1596,13,51238,1,48115,26236,3167,29,1152,815,2,1,60,0,1,0,31,53,5,1,9,1,Larynx
s15904,1859073,1070059,111404,148665,4235676,0,34374,685,8,167,928,1845,1955,6,45910,0,40211,20641,1769,16,919,932,0,2,37,0,1,0,10,24,4,1,1,0,Larynx
s15912,36939,27073,11609,1517,66172,0,569,14,4,1,6,35,92,1,1725,2,1998,1175,21,48,36,29,1,0,0,1,0,0,0,1,0,0,11,0,Larynx
s15913,26518,37646,11098,4098,99143,0,422,4,0,0,8,26,116,0,1421,8,1867,1117,42,4,273,19,0,0,0,0,0,0,0,0,0,0,6,0,Larynx
s15920,33311,24140,10439,1176,54896,0,616,12,1,3,5,18,51,2,1415,1,1502,2569,2,27,11,24,0,0,0,0,0,0,0,0,0,0,14,0,Larynx
s15925,28340,15342,6396,923,95557,0,644,2,2,1,2,12,26,1,1147,0,1024,524,5,140,16,13,0,0,1,0,0,0,0,0,0,0,3,0,Larynx
s15926,36937,28169,13442,1532,55599,0,750,10,0,1,14,37,51,3,1769,0,1532,918,5,17,19,11,0,0,0,0,0,0,0,1,0,0,4,0,Larynx
s15927,32267,26399,6675,1027,262881,0,306,5,1,1,11,12,29,2,1161,4,1063,798,6,35,41,12,0,0,0,0,0,0,0,1,0,0,7,0,Larynx
s15928,35853,28258,14626,1628,63931,0,651,10,0,4,9,57,62,3,1956,2,2022,56551,11,6,15227,11,0,0,0,0,0,0,0,1,0,0,6,0,Larynx
s15930,21537,21321,7746,1119,41599,0,502,14,0,0,7,30,60,0,1517,0,1680,986,5,40,28,10,2,0,0,0,0,0,0,0,0,0,1,0,Larynx
s15932,36846,20119,7985,1107,58960,0,464,5,0,0,3,18,66,3,1239,1,1246,763,8,165,35,16,0,0,0,0,0,0,0,1,0,0,10,0,Larynx
s15934,24731,20585,9152,1195,56155,0,457,4,1,0,8,28,18,1,985,2,837,1393,3,33,17,5,0,0,1,0,0,0,0,0,0,0,1,0,Larynx
s15941,19590,12768,6014,943,45819,0,548,4,1,2,7,11,34,0,1110,0,856,563,4,26,14,11,0,0,1,0,0,0,0,0,0,0,7,0,Larynx
s15954,97858,42568,7497,1137,1169636,0,400,17,6,1,3,8,224,0,1402,1,1126,862,52,59,124,9,0,0,0,0,0,0,0,0,0,1,6,0,Larynx
s15962,25493578,17618619,22841,33427,5028043,0,2732,97,3,15,58,147,58,3,4744,0,5878,3935,114,9,122,75,0,1,7,0,0,0,2,5,0,0,1,0,Larynx
s15971,64882,44978,20680,2795,385091,0,878,15,2,4,17,32,49,0,2849,0,2487,1345,6,51,60,38,0,0,1,0,0,0,0,0,0,0,15,0,Larynx
s15972,24363,21737,9808,990,44613,0,170,6,0,1,1,7,72,0,909,0,989,593,5,0,55,10,0,1,0,0,0,0,0,0,0,0,2,0,Larynx
s15975,28397,21844,7226,1429,52396,2,644,8,0,1,5,23,130,1,1794,1,1927,2811,16,486,220,13,7,0,0,1,0,0,0,1,0,0,2,0,Larynx
s15976,455898,245846,13934,27913,223641,1,3154,81,2,9,19,193,338,1,6140,0,6491,5464,362,4,132,72,0,0,3,0,0,0,0,3,1,0,0,0,Larynx
s15977,47844,37520,9879,1402,862555,0,991,15,0,1,2,15,545,0,2568,0,1753,1805,153,7,1501,28,2,0,0,0,0,0,0,2,0,0,6,0,Larynx
s15978,32103,28419,6869,1083,69925,0,334,16,0,1,6,18,78,0,1327,0,1519,859,10,43,33,15,0,0,0,0,0,1,0,1,0,0,4,0,Larynx
s15979,35083,24513,4208,666,802437,0,314,5,0,0,6,13,123,1,1040,0,748,421,69,1,15,10,0,0,0,0,0,0,0,1,0,0,5,0,Larynx
s15986,25239,25974,5077,759,242622,0,410,43,2,5,14,26,29,3,899,3,874,512,21,1,26,3,2,0,0,0,1,3,1,7,5,0,2,5,Larynx
s15988,382569,219060,21477,24765,139746,0,2485,45,1,9,28,128,191,426,3772,0,5192,9239,154,2,11740,59,0,0,0,1,1,0,0,0,0,0,0,0,Larynx
s15991,409734,190877,14450,27049,173714,0,3645,76,4,11,34,248,126,2,6212,0,8897,4309,95,4,117,108,0,0,3,0,0,0,1,1,3,0,0,0,Larynx
s15992,61418,48542,30260,3804,126917,4,1168,191,8,2,52,43,223,15,3102,5,2280,1371,275,159,78,33,8,10,8,4,1,2,6,12,5,1,30,6,Larynx
s15999,1586136,40449,5424,679,125883,0,254,6,0,0,2,14,44,14,875,2,1006,1041,6,27,671,9,0,3,0,0,0,0,0,0,0,0,7,0,Larynx
s16003,19631,11352,5250,648,38646,0,368,4,1,0,2,14,4,0,710,0,639,660,2,47,306,4,0,0,0,0,0,0,0,0,0,0,1,0,Larynx
s16012,24116,23132,8303,1880,51236,0,354,6,0,1,5,13,72,0,1252,0,1372,2465,17,1,15,13,0,0,2,1,0,0,0,0,1,0,6,0,Larynx
s16026,50891,35499,14225,1975,71919,0,778,16,1,2,8,24,64,2,1855,1,2220,3328,4,1,22,22,0,0,0,0,0,0,0,3,0,0,5,0,Larynx
s16029,7101971,4030905,246049,556168,4743376,1,72068,907,13,247,1583,1299,1863,9,53161,0,50481,27283,4872,29,1163,948,1,0,81,1,0,0,23,50,3,0,1,2,Larynx
s16032,32892,36039,13425,1416,73933,0,835,12,0,2,8,95,89,1,1886,1,2513,5643,11,68,188,13,0,0,0,1,0,0,0,1,0,0,5,0,Larynx
s16043,43388,20841,11049,1998,55216,0,459,5,0,0,7,29,115,0,1458,0,1736,3112,32,76,16,20,0,0,1,2,0,0,0,1,0,0,8,0,Larynx
s16044,440814,119685,12101,1419,549859,0,581,7,0,3,11,33,36,0,1411,0,930,856,12,2,30,8,0,0,0,0,0,0,3,1,1,0,6,0,Larynx
s16049,893241,35073,8264,1380,127239,0,765,10,0,1,3,20,97,0,1608,0,1648,907,20,3,24,16,0,0,0,0,0,0,0,0,1,0,3,0,Larynx
s16060,440187,268543,9949,26352,168370,0,2310,57,1,7,21,144,60,1,4282,0,5765,3050,103,4,91,83,0,0,4,0,0,0,0,1,0,0,0,1,Larynx
s16068,426991,207096,17252,27479,211925,1,3778,84,5,17,32,315,82,3,6586,0,9675,5556,123,11,148,131,1,0,8,0,0,1,1,2,2,0,0,0,Larynx
s16075,30548,23288,8167,1074,55269,0,331,4,0,0,7,22,33,0,1406,0,1192,1762,10,19,15,11,0,0,0,0,0,0,0,1,0,0,10,0,Larynx
s16084,97055,65656,8941,1314,2193414,0,836,13,0,0,6,19,386,2,2660,1,1564,898,260,115,15,19,0,0,0,0,0,0,0,1,0,0,6,0,Larynx
s16089,41913,23869,8166,1256,252304,0,423,22,0,2,12,32,27,2,1501,1,1270,708,9,57,31,20,0,0,0,0,0,0,1,0,2,0,3,0,Larynx
s16093,29826,29452,10702,2743,384693,0,493,5,3,0,7,29,122,2,1263,0,1497,985,31,59,47,21,0,0,0,0,0,0,0,0,0,0,9,0,Larynx
s16098,348516,155381,8447,22971,122302,0,2110,56,1,6,10,127,135,0,3334,0,4398,2321,105,2,211,54,0,0,0,0,0,0,1,2,0,0,0,0,Larynx
s16100,53966,37219,7749,1060,98321,0,436,6,0,0,8,15,28,2,804,1,1111,904,8,15,36,13,0,0,0,0,0,0,0,1,0,0,7,0,Larynx
s16106,338033,211871,11356,25790,136286,1,1809,44,1,4,21,155,55,1,3356,0,4603,2375,174,1,85,70,0,0,0,0,0,0,2,3,0,0,0,0,Larynx
s16107,11677,16026,5243,674,34105,0,276,2,1,0,6,9,30,1,615,0,619,1284,3,93,16,5,0,0,0,0,0,0,0,0,0,0,2,0,Larynx
s16108,68786,28953,4151,657,107562,0,197,4,0,1,2,8,125,0,975,0,522,381,58,1,12,8,0,0,0,0,0,0,0,0,0,0,2,0,Larynx
s16112,41832,34652,29156,1117,121039,0,349,8,3,1,4,48,83,1,1342,4,1456,790,35,22,34,10,0,0,0,1,0,0,0,1,0,0,4,0,Larynx
s16113,69972,109955,34658,4388,215488,0,782,19,4,5,47,30,165,6,2736,6,2625,1571,21,15,84,22,0,0,1,0,0,0,0,1,0,0,13,0,Larynx
s16122,41727,25420,16084,2434,60344,0,437,9,1,3,11,22,59,1,1244,0,1172,2154,16,129,33,13,0,0,1,0,0,0,1,0,0,0,4,0,Larynx
s16123,58994,35950,18304,5322,77892,0,641,17,1,1,13,28,130,3,2649,1,2585,1832,54,163,39,35,0,0,0,0,0,0,0,0,0,0,8,0,Larynx
s16135,40194,33015,9928,1719,79861,2,540,12,4,0,7,24,101,0,1843,0,1993,1338,26,98,32,19,2,0,0,0,0,0,0,0,1,0,4,0,Larynx
s16143,61851,21433,6903,915,55871,0,370,1,0,1,5,15,22,5,870,0,1028,566,10,88,262,6,0,0,0,0,0,0,0,1,0,0,3,0,Larynx
s16151,90805,52496,8858,1326,150396,0,401,14,0,2,4,21,345,1,1717,0,1396,923,113,2,27,21,0,0,0,0,0,0,0,1,0,0,6,0,Larynx
s16156,43675,23212,6914,1105,305191,0,415,7,0,1,6,24,19,8,1219,0,856,544,2,179,45,4,0,0,0,0,0,0,0,2,0,0,4,0,Larynx
s16158,8059824,4665203,288371,609640,39235323,2,71086,1180,17,185,1630,4450,10695,13,96570,0,72073,34826,6388,31,1863,1116,1,1,65,1,1,0,37,65,11,0,1,1,Larynx
s16160,10808150,7421339,435384,598563,15295568,4,71276,1103,10,239,1546,10680,5316,15,81963,1,70944,122648,8849,21,3346,1014,2,0,52,1,3,0,29,76,7,1,4,4,Larynx
s16171,104093,68169,10196,1307,289492,0,327,7,0,1,7,13,233,0,1150,2,830,481,208,1,24,13,0,0,0,0,0,0,0,1,0,0,3,0,Larynx
s16176,177279,76159,9927,1522,474751,8,646,23,0,3,25,71,244,1,2354,1,2352,1440,252,374,62,22,2,2,1,0,0,0,0,2,0,0,2,0,Larynx
s16177,29771,32189,5826,852,880548,1,328,12,1,1,4,9,305,1,1590,0,1167,659,166,0,34,7,0,0,0,0,0,0,0,0,0,0,1,0,Larynx
s16182,389769,238170,12762,35907,137749,0,2170,61,1,9,14,126,64,0,3729,0,5010,2520,227,6,74,81,0,0,1,0,0,0,0,3,0,0,0,0,Larynx
s16183,68150,32505,5643,849,115530,0,294,4,1,0,4,14,75,1,1256,0,1336,761,19,99,430,7,0,0,0,0,0,0,0,0,0,0,6,0,Larynx
s16184,6401329,3006939,277807,472516,2608410,1,61521,1067,29,57,2083,1185,1056,11,56207,1,56967,31986,2404,52,1375,1079,3,1,69,2,0,0,23,71,12,0,0,1,Larynx
s16192,28414,24034,8807,876,59484,0,335,8,0,2,3,14,54,4,958,0,1041,1511,8,45,1449,7,1,0,0,0,0,0,0,2,0,0,8,0,Larynx
s16196,403646,208172,9822,27208,141145,0,2332,51,3,10,23,122,189,0,3957,0,5125,2619,167,5,333,63,0,0,1,0,0,0,0,1,2,0,0,0,Larynx
s16215,69148,42776,9457,1404,147181,0,775,11,0,0,18,26,93,0,1595,0,1319,830,43,58,26,17,0,0,1,0,0,0,0,0,0,0,1,0,Larynx
s16217,28392,20381,11197,1415,110626,0,312,4,0,0,7,14,29,0,1186,0,1282,705,3,15,123,18,3,0,0,0,0,0,0,0,0,0,3,0,Larynx
s16218,443347,227257,9630,33970,158281,1,2425,52,2,11,20,122,137,0,3682,0,5307,2722,190,1,71,67,0,0,0,0,1,0,3,2,1,0,0,0,Larynx
s16219,8455007,3281543,650438,588097,4929565,8,66625,1293,14,185,1319,1279,2858,27,66970,21,88302,1893637,3657,30,1111295,1384,12,5,88,2,0,16,40,63,2,25,12,2,Larynx
s16221,22960,27447,7048,797,71447,0,272,10,3,3,10,45,45,1,951,2,1300,698,29,4,18,13,0,0,0,1,2,0,0,0,0,0,8,1,Larynx
s16222,375624,208170,7665,20997,151130,0,1859,50,3,10,24,128,98,1,2801,0,3879,2117,100,2,65,61,0,0,0,0,0,0,0,1,0,0,0,0,Larynx
s16223,1366759,41718,9750,1381,169106,0,574,9,7,3,3,18,223,0,1733,1,1317,1090,79,82,77,10,0,0,0,1,0,1,0,0,0,0,1,0,Larynx
s16233,13584814,8841284,591339,1065691,18318064,1,81587,1425,11,377,1424,13558,13141,32,130519,2,95077,288814,14281,19,128140,1291,0,10,84,0,1,14,85,88,9,2,1,2,Larynx
s16237,552770,241048,14769,38947,208922,3,3036,78,3,0,35,285,283,0,9249,0,11845,6205,180,8,240,189,0,1,3,0,0,0,0,10,1,0,0,0,Larynx
s16238,76423,51103,10437,1515,163340,0,761,14,0,2,5,18,158,3,2230,0,1330,713,102,161,32,15,0,0,1,0,0,0,0,1,0,0,9,0,Larynx
s16240,38476,23253,8453,1089,253565,0,369,8,0,0,4,8,31,0,1088,0,1284,852,1,71,19,11,0,0,0,0,0,0,0,0,0,0,2,0,Larynx
s16242,8287183,4150568,471911,655213,3751197,16,75058,1132,17,226,1608,1594,1686,31,55787,0,54034,188539,3139,35,272164,990,1,16,96,1,1,2,27,60,6,3,4,0,Larynx
s16249,37017,40166,9821,1331,106519,0,350,7,2,0,7,17,99,0,876,0,935,1672,53,48,21,8,0,0,0,0,0,0,0,0,0,0,4,0,Larynx
s16250,50959,30595,5950,904,108363,0,1188,19,0,0,5,22,244,1,1916,2,1340,1071,105,60,24,13,0,0,0,0,0,0,0,0,0,0,2,0,Larynx
s16254,5796573,3139843,201548,516261,2384652,1,46578,623,11,135,760,554,1099,6,33101,0,29150,15245,6339,18,660,568,2,0,27,1,1,0,32,38,1,0,1,0,Larynx
s16260,27974,23403,8520,1131,47408,0,395,8,1,0,6,17,57,1,1210,0,1252,2007,10,17,62,16,0,0,0,0,0,0,0,0,0,0,9,0,Larynx
s16263,31309,30545,8573,1636,125776,0,424,9,0,0,2,26,115,1,1975,0,1763,1568,30,14,118,17,0,1,1,0,0,0,0,0,0,8,9,0,Larynx
s16271,66151,43811,11705,2589,163514,0,530,17,1,2,23,12,361,1,2285,0,1241,784,118,174,28,9,0,0,1,0,0,0,0,1,0,0,14,0,Larynx
s16277,86542,49506,12949,3240,143713,0,1008,10,1,1,7,42,28,2,2174,0,2442,1654,14,255,36,18,1,0,0,0,0,0,0,0,0,0,7,0,Larynx
s16282,49545,56060,9973,1530,136128,0,493,11,1,1,18,20,128,4,1784,1,1770,1683,18,7,116,21,0,12,0,0,0,1,1,0,0,0,10,0,Larynx
s16283,49174,38215,7025,1263,190517,0,261,7,2,0,5,15,79,5,1089,0,1201,940,45,50,60,9,0,0,0,2,0,0,0,0,0,0,7,0,Larynx
s16284,426632,253421,9141,27643,151303,0,2171,45,4,10,32,131,61,2,3593,0,5254,2780,101,2,67,73,0,0,1,0,0,0,0,2,1,0,0,0,Larynx
s16288,21505,16775,10133,1193,43858,0,341,2,0,0,2,6,31,1,775,0,793,2807,5,68,2971,2,0,1,0,0,0,0,0,0,0,0,5,0,Larynx
s16293,43341,22392,5803,895,566965,0,298,9,0,0,3,12,111,3,800,0,618,1018,32,82,31,6,0,0,0,0,0,0,0,0,0,0,2,0,Larynx
s16296,41263,25227,6503,996,104406,0,442,5,0,0,6,17,53,4,1216,4,1458,1256,5,33,336,13,0,2,0,1,0,0,0,0,0,0,6,0,Larynx
s16308,90728,42229,12593,1898,210537,0,660,14,0,3,8,24,129,9,1457,0,1307,1069,48,110,56,14,0,2,1,0,0,0,0,1,0,0,4,2,Larynx
s16309,5538831,2542401,170194,457112,4342061,1,43676,630,9,126,911,855,1449,12,37603,0,33338,17602,4191,18,863,688,0,0,12,0,0,0,23,68,8,1,12,0,Larynx
s16317,3547501,1807469,117640,312199,1339053,2,37318,372,12,218,200,281,347,7,13081,0,12656,6093,1780,11,273,137,1,0,33,2,0,0,10,10,1,0,0,0,Larynx
s16324,25192,26344,11006,1340,58683,0,451,9,1,2,12,28,78,1,1209,0,1630,895,10,110,421,10,0,0,0,0,0,0,0,1,0,1,4,0,Larynx
s16334,37727,82627,41508,4443,125325,0,604,8,2,3,25,22,58,4,1177,3,1579,1033,3,80,69,10,0,0,0,0,0,0,0,0,0,0,5,0,Larynx
s16345,36787,23432,5472,751,500299,0,432,10,5,0,7,21,119,1,1242,2,1200,768,36,137,735,11,1,0,0,0,0,0,0,0,1,0,0,0,Larynx
s16351,56335,40904,13064,2501,581783,0,840,10,1,2,5,28,77,2,2014,1,2017,1392,23,6,20,24,0,0,0,0,0,0,2,1,0,0,5,0,Larynx
s16353,40492,29513,13139,1997,79244,0,952,9,0,4,14,15,59,2,1521,3,1403,705,9,30,22,14,0,0,0,0,0,0,0,0,0,0,4,0,Larynx
s16357,324364,198873,9412,20171,121317,0,1621,26,4,7,16,98,49,0,2755,0,3909,2220,76,1,487,39,0,0,0,0,0,0,0,1,0,0,0,0,Larynx